,cluster_no,rep_member,member_ID,n_members,n_SAVs
1168,757,Q07866,Q07866,1,2.0
1169,799,P19525,P19525,1,2.0
1170,167,Q92878,Q92878,1,2.0
1171,891,Q13217,Q13217,1,2.0
1172,333,P57740,P57740,1,2.0
1173,795,Q9BZE9,Q9BZE9,1,2.0
1174,888,Q96KN2,"Q96KN2,Q96KP4",2,2.0
1175,887,Q9NQH7,Q9NQH7,1,2.0
1176,886,Q9Y285,Q9Y285,1,2.0
1177,884,P54868,P54868,1,2.0
1178,238,P42702,P42702,1,2.0
1179,877,P49257,P49257,1,2.0
1180,510,O15119,O15119,1,2.0
1181,254,Q9UPP1,"Q9UPP1,Q6ZMT4",2,2.0
1182,235,P80192,"P80192,Q5TCX8",2,2.0
1183,804,Q6ZMI3,Q6ZMI3,1,2.0
1184,806,Q9NQS3,Q9NQS3,1,2.0
1185,807,Q6P5Q4,"Q6P5Q4,P28289",2,2.0
1186,350,Q17RS7,Q17RS7,1,2.0
1187,567,Q96QV1,Q96QV1,1,2.0
1188,518,O60568,O60568,1,2.0
1189,450,P54886,P54886,1,2.0
1190,1015,Q9NWU1,Q9NWU1,1,2.0
1191,638,P13667,"P13667,P30101",2,2.0
1192,414,O75173,O75173,1,2.0
1193,1011,P13489,P13489,1,2.0
1194,504,Q96EB6,Q96EB6,1,2.0
1195,1066,Q9NP92,Q9NP92,1,2.0
1196,302,O94804,O94804,1,2.0
1197,178,O95487,"O95487,O95486",2,2.0
1198,281,P14735,P14735,1,2.0
1199,825,P17643,P17643,1,2.0
1200,425,P24394,P24394,1,2.0
1201,662,P50895,P50895,1,2.0
1202,717,P32455,P32455,1,2.0
1203,1024,P35790,P35790,1,2.0
1204,404,P42226,P42226,1,2.0
1205,1023,Q8N142,"Q8N142,P30520",2,2.0
1206,1020,Q9BVA6,Q9BVA6,1,2.0
1207,1019,P01730,P01730,1,2.0
1208,661,Q9Y6X2,"Q9Y6X2,O75928",2,2.0
1209,636,P30291,"P30291,P0C1S8",2,2.0
1210,690,Q9H9F9,Q9H9F9,1,2.0
1211,691,Q676U5,Q676U5,1,2.0
1212,1201,O75521,O75521,1,2.0
1213,702,Q14181,Q14181,1,2.0
1214,172,Q15047,Q15047,1,2.0
1215,657,Q86TM3,Q86TM3,1,2.0
1216,1058,O43614,"O43614,O43613",2,2.0
1217,1051,Q96I15,Q96I15,1,2.0
1218,413,O15394,O15394,1,2.0
1219,1048,Q9NP56,Q9NP56,1,2.0
1220,682,P27694,P27694,1,2.0
1221,660,Q5VWK5,Q5VWK5,1,2.0
1222,635,P10515,P10515,1,2.0
1223,1063,Q13093,Q13093,1,2.0
1224,1043,Q9BSI4,Q9BSI4,1,2.0
1225,426,Q9UDY8,Q9UDY8,1,2.0
1226,612,P57075,"P57075,Q8TF42",2,2.0
1227,708,Q96AX1,Q96AX1,1,2.0
1228,645,P50542,P50542,1,2.0
1229,606,P47736,P47736,1,2.0
1230,1072,Q15118,Q15118,1,2.0
1231,732,P29353,P29353,1,2.0
1232,742,Q9Y5A9,"Q9Y5A9,Q9BYJ9",2,2.0
1233,440,Q9UJX5,Q9UJX5,1,2.0
1234,377,Q14974,Q14974,1,2.0
1235,291,P36888,P36888,1,2.0
1236,396,Q13415,Q13415,1,2.0
1237,193,Q86VP6,Q86VP6,1,2.0
1238,999,Q9NQG6,Q9NQG6,1,2.0
1239,1075,Q8N2I9,Q8N2I9,1,2.0
1240,653,Q06787,Q06787,1,2.0
1241,725,Q9UHD8,"Q9UHD8,Q9UH03",2,2.0
1242,397,Q9H9G7,"Q9H9G7,Q9UL18",2,2.0
1243,166,Q96RG2,Q96RG2,1,2.0
1244,1009,P20333,P20333,1,2.0
1245,395,Q92854,Q92854,1,2.0
1246,1010,Q16602,Q16602,1,2.0
1247,684,O95831,O95831,1,2.0
1248,551,Q9UKG1,Q9UKG1,1,1.0
1249,1498,Q5SRE7,Q5SRE7,1,1.0
1250,1491,Q99836,Q99836,1,1.0
1251,1575,Q9BZX2,Q9BZX2,1,1.0
1252,1570,P25786,P25786,1,1.0
1253,1496,P28845,P28845,1,1.0
1254,1591,O00584,O00584,1,1.0
1255,574,Q9NR80,Q9NR80,1,1.0
1256,673,P29401,P29401,1,1.0
1257,294,Q8N960,Q8N960,1,1.0
1258,1483,O00560,O00560,1,1.0
1259,1581,Q9H6Q3,Q9H6Q3,1,1.0
1260,552,Q08945,Q08945,1,1.0
1261,572,P49418,P49418,1,1.0
1262,1578,P35270,P35270,1,1.0
1263,671,Q9H981,Q9H981,1,1.0
1264,1571,Q86VU5,Q86VU5,1,1.0
1265,1486,P25325,P25325,1,1.0
1266,666,Q9H9A7,Q9H9A7,1,1.0
1267,663,Q9UBL3,Q9UBL3,1,1.0
1268,1572,Q9Y657,Q9Y657,1,1.0
1269,1582,Q6NS38,Q6NS38,1,1.0
1270,1574,Q7Z7H8,Q7Z7H8,1,1.0
1271,668,Q6ISB3,Q6ISB3,1,1.0
1272,1586,P07738,P07738,1,1.0
1273,1487,Q6P1N9,Q6P1N9,1,1.0
1274,1585,Q9H0R4,Q9H0R4,1,1.0
1275,564,A9YTQ3,A9YTQ3,1,1.0
1276,672,Q9Y5P4,Q9Y5P4,1,1.0
1277,1536,P25942,P25942,1,1.0
1278,658,Q14258,Q14258,1,1.0
1279,1529,O14893,O14893,1,1.0
1280,654,Q8IUH5,Q8IUH5,1,1.0
1281,312,Q8NFP4,Q8NFP4,1,1.0
1282,591,Q9BW19,Q9BW19,1,1.0
1283,1564,Q5VZV1,Q5VZV1,1,1.0
1284,307,Q2M2I8,Q2M2I8,1,1.0
1285,319,O94906,O94906,1,1.0
1286,1547,Q96DN0,Q96DN0,1,1.0
1287,1546,Q9NTM9,Q9NTM9,1,1.0
1288,311,Q9Y2L1,Q9Y2L1,1,1.0
1289,1523,Q8IYS5,Q8IYS5,1,1.0
1290,1524,P10768,P10768,1,1.0
1291,56,Q13459,Q13459,1,1.0
1292,620,Q9BW27,Q9BW27,1,1.0
1293,1593,P38117,P38117,1,1.0
1294,1527,Q96IY1,Q96IY1,1,1.0
1295,599,Q6MZZ7,Q6MZZ7,1,1.0
1296,600,O94925,O94925,1,1.0
1297,644,Q9UBT2,Q9UBT2,1,1.0
1298,313,Q99460,Q99460,1,1.0
1299,315,Q99558,Q99558,1,1.0
1300,602,O75326,O75326,1,1.0
1301,608,Q14392,Q14392,1,1.0
1302,317,O00408,O00408,1,1.0
1303,49,Q9UMZ3,Q9UMZ3,1,1.0
1304,318,O75899,O75899,1,1.0
1305,1550,Q9BWP8,Q9BWP8,1,1.0
1306,304,O60716,O60716,1,1.0
1307,590,Q8N3R9,Q8N3R9,1,1.0
1308,1559,P15428,P15428,1,1.0
1309,646,P08240,P08240,1,1.0
1310,332,Q13469,Q13469,1,1.0
1311,61,Q14676,Q14676,1,1.0
1312,1565,P61247,P61247,1,1.0
1313,330,O60308,O60308,1,1.0
1314,578,Q9UKF6,Q9UKF6,1,1.0
1315,1628,Q6ZMJ4,Q6ZMJ4,1,1.0
1316,1509,Q53TN4,Q53TN4,1,1.0
1317,581,O43395,O43395,1,1.0
1318,324,P06401,P06401,1,1.0
1319,1510,Q96Q83,Q96Q83,1,1.0
1320,641,Q9H611,Q9H611,1,1.0
1321,640,O14777,O14777,1,1.0
1322,60,P35658,P35658,1,1.0
1323,1514,O94760,O94760,1,1.0
1324,45,Q9H4A3,Q9H4A3,1,1.0
1325,1518,Q13126,Q13126,1,1.0
1326,1555,P78346,P78346,1,1.0
1327,327,Q9Y5G1,Q9Y5G1,1,1.0
1328,1766,Q96F10,Q96F10,1,1.0
1329,1553,O95760,O95760,1,1.0
1330,1594,Q9H4M3,Q9H4M3,1,1.0
1331,1715,P05452,P05452,1,1.0
1332,1714,Q9Y294,Q9Y294,1,1.0
1333,433,P51795,P51795,1,1.0
1334,431,Q13443,Q13443,1,1.0
1335,1718,P02753,P02753,1,1.0
1336,378,Q9BXP5,Q9BXP5,1,1.0
1337,1720,Q8TCD5,Q8TCD5,1,1.0
1338,379,O76074,O76074,1,1.0
1339,427,P30260,P30260,1,1.0
1340,1724,O14508,O14508,1,1.0
1341,1725,P80188,P80188,1,1.0
1342,1726,Q53FT3,Q53FT3,1,1.0
1343,1728,Q8IZI9,Q8IZI9,1,1.0
1344,1767,Q13232,Q13232,1,1.0
1345,598,Q9NVP1,Q9NVP1,1,1.0
1346,579,P81274,P81274,1,1.0
1347,1729,Q9Y3B2,Q9Y3B2,1,1.0
1348,424,O75815,O75815,1,1.0
1349,423,Q9BQI5,Q9BQI5,1,1.0
1350,1713,Q7Z4H3,Q7Z4H3,1,1.0
1351,1734,P51965,P51965,1,1.0
1352,1712,Q96CD2,Q96CD2,1,1.0
1353,454,Q96T88,Q96T88,1,1.0
1354,452,Q9Y263,Q9Y263,1,1.0
1355,1696,Q96IU4,Q96IU4,1,1.0
1356,1697,P19388,P19388,1,1.0
1357,451,Q9P0L2,Q9P0L2,1,1.0
1358,1700,Q99627,Q99627,1,1.0
1359,1701,P62241,P62241,1,1.0
1360,446,Q8TF76,Q8TF76,1,1.0
1361,438,Q8IWT6,Q8IWT6,1,1.0
1362,1705,P30043,P30043,1,1.0
1363,1706,Q9NWU5,Q9NWU5,1,1.0
1364,1708,Q96HA8,Q96HA8,1,1.0
1365,1709,P49720,P49720,1,1.0
1366,1710,Q9H081,Q9H081,1,1.0
1367,435,P55884,P55884,1,1.0
1368,1733,P46781,P46781,1,1.0
1369,419,Q13263,Q13263,1,1.0
1370,40,Q12923,Q12923,1,1.0
1371,384,Q9Y678,Q9Y678,1,1.0
1372,1758,P62913,P62913,1,1.0
1373,1760,Q9BRG1,Q9BRG1,1,1.0
1374,402,Q96RS0,Q96RS0,1,1.0
1375,1762,Q16548,Q16548,1,1.0
1376,400,P33981,P33981,1,1.0
1377,1764,P13693,P13693,1,1.0
1378,1732,Q9BY32,Q9BY32,1,1.0
1379,398,P13591,P13591,1,1.0
1380,1749,Q9UM13,Q9UM13,1,1.0
1381,134,Q9HAR2,Q9HAR2,1,1.0
1382,383,Q9H6E5,Q9H6E5,1,1.0
1383,524,Q9NQX3,Q9NQX3,1,1.0
1384,1771,P05161,P05161,1,1.0
1385,1772,Q9NV35,Q9NV35,1,1.0
1386,386,Q9UBT6,Q9UBT6,1,1.0
1387,393,P11171,P11171,1,1.0
1388,390,Q9BXJ9,Q9BXJ9,1,1.0
1389,1757,Q9Y6M9,Q9Y6M9,1,1.0
1390,1755,Q9Y221,Q9Y221,1,1.0
1391,1736,P84074,P84074,1,1.0
1392,4,Q9NR09,Q9NR09,1,1.0
1393,381,Q9H8M5,Q9H8M5,1,1.0
1394,1738,Q15126,Q15126,1,1.0
1395,1741,P41222,P41222,1,1.0
1396,1742,Q9BSD7,Q9BSD7,1,1.0
1397,410,Q9NP58,Q9NP58,1,1.0
1398,478,Q9Y4K0,Q9Y4K0,1,1.0
1399,409,Q8NE71,Q8NE71,1,1.0
1400,1746,P30086,P30086,1,1.0
1401,1747,P01574,P01574,1,1.0
1402,408,P15498,P15498,1,1.0
1403,1750,Q9NRW4,Q9NRW4,1,1.0
1404,1751,Q04760,Q04760,1,1.0
1405,1752,Q13951,Q13951,1,1.0
1406,1753,Q9ULC4,Q9ULC4,1,1.0
1407,1691,Q96LD8,Q96LD8,1,1.0
1408,1690,Q9BUL8,Q9BUL8,1,1.0
1409,1687,O75251,O75251,1,1.0
1410,533,Q8NBF2,Q8NBF2,1,1.0
1411,528,O60583,O60583,1,1.0
1412,349,Q7KZF4,Q7KZF4,1,1.0
1413,521,Q92786,Q92786,1,1.0
1414,1638,O95833,O95833,1,1.0
1415,517,Q15022,Q15022,1,1.0
1416,1612,P19404,P19404,1,1.0
1417,1506,Q96FX7,Q96FX7,1,1.0
1418,512,P16070,P16070,1,1.0
1419,675,P16471,P16471,1,1.0
1420,1629,P20618,P20618,1,1.0
1421,1630,P08294,P08294,1,1.0
1422,1631,P54819,P54819,1,1.0
1423,1632,Q9NR28,Q9NR28,1,1.0
1424,352,P78344,P78344,1,1.0
1425,508,Q13617,Q13617,1,1.0
1426,505,Q13835,Q13835,1,1.0
1427,1637,Q9BQ50,Q9BQ50,1,1.0
1428,344,P26045,P26045,1,1.0
1429,36,Q15652,Q15652,1,1.0
1430,1686,Q9BQB4,Q9BQB4,1,1.0
1431,1613,P62753,P62753,1,1.0
1432,1596,P02746,P02746,1,1.0
1433,545,Q8IUC6,Q8IUC6,1,1.0
1434,1598,P13725,P13725,1,1.0
1435,1599,Q9NRX1,Q9NRX1,1,1.0
1436,1600,Q9BSH5,Q9BSH5,1,1.0
1437,1601,O95150,O95150,1,1.0
1438,541,Q96NI6,Q96NI6,1,1.0
1439,1604,P17931,P17931,1,1.0
1440,1605,Q9HD33,Q9HD33,1,1.0
1441,342,O60502,O60502,1,1.0
1442,537,P26639,P26639,1,1.0
1443,1609,P13984,P13984,1,1.0
1444,536,Q9NZ52,Q9NZ52,1,1.0
1445,1611,Q8WV92,Q8WV92,1,1.0
1446,1639,Q9NQT4,Q9NQT4,1,1.0
1447,357,Q12959,Q12959,1,1.0
1448,358,Q8TDY4,Q8TDY4,1,1.0
1449,483,Q15436,Q15436,1,1.0
1450,474,O14964,O14964,1,1.0
1451,1670,Q9UKK9,Q9UKK9,1,1.0
1452,472,Q96JM7,Q96JM7,1,1.0
1453,471,Q9NR71,Q9NR71,1,1.0
1454,465,O60603,O60603,1,1.0
1455,373,P04035,P04035,1,1.0
1456,1676,Q9UBQ5,Q9UBQ5,1,1.0
1457,1677,P28676,P28676,1,1.0
1458,9,Q7Z6Z7,Q7Z6Z7,1,1.0
1459,462,Q9H9E3,Q9H9E3,1,1.0
1460,1680,P62826,P62826,1,1.0
1461,1682,P67870,P67870,1,1.0
1462,460,Q99835,Q99835,1,1.0
1463,1769,Q9Y3C8,Q9Y3C8,1,1.0
1464,1685,Q9UKL6,Q9UKL6,1,1.0
1465,19,P24043,P24043,1,1.0
1466,1662,Q9BRT9,Q9BRT9,1,1.0
1467,489,Q13627,Q13627,1,1.0
1468,359,Q9BVN2,Q9BVN2,1,1.0
1469,494,Q12797,Q12797,1,1.0
1470,1645,Q9H867,Q9H867,1,1.0
1471,365,Q00653,Q00653,1,1.0
1472,1647,P22061,P22061,1,1.0
1473,1648,Q9Y2Q3,Q9Y2Q3,1,1.0
1474,488,P01833,P01833,1,1.0
1475,370,Q9NQV7,Q9NQV7,1,1.0
1476,22,Q8NFP9,Q8NFP9,1,1.0
1477,368,Q14118,Q14118,1,1.0
1478,1655,O75934,O75934,1,1.0
1479,1666,Q9BT30,Q9BT30,1,1.0
1480,1658,Q6P587,Q6P587,1,1.0
1481,718,P17812,P17812,1,1.0
1482,1659,Q9Y235,Q9Y235,1,1.0
1483,678,O43663,O43663,1,1.0
1484,129,P02461,P02461,1,1.0
1485,206,Q9P2F6,Q9P2F6,1,1.0
1486,1217,P43115,P43115,1,1.0
1487,943,P52209,P52209,1,1.0
1488,942,P49840,P49840,1,1.0
1489,941,P34896,P34896,1,1.0
1490,128,Q9C000,Q9C000,1,1.0
1491,210,P11498,P11498,1,1.0
1492,211,P30876,P30876,1,1.0
1493,212,Q6PD62,Q6PD62,1,1.0
1494,1225,P36575,P36575,1,1.0
1495,1226,Q9UKT5,Q9UKT5,1,1.0
1496,1227,Q86V24,Q86V24,1,1.0
1497,123,O60306,O60306,1,1.0
1498,214,P48357,P48357,1,1.0
1499,1232,P26378,P26378,1,1.0
1500,952,Q9H1P3,Q9H1P3,1,1.0
1501,954,Q9UGM1,Q9UGM1,1,1.0
1502,679,Q96FE5,Q96FE5,1,1.0
1503,131,Q6ZNL6,Q6ZNL6,1,1.0
1504,981,P23381,P23381,1,1.0
1505,979,Q6PHR2,Q6PHR2,1,1.0
1506,977,Q96MU8,Q96MU8,1,1.0
1507,975,P02774,P02774,1,1.0
1508,136,Q9NTI5,Q9NTI5,1,1.0
1509,195,P20020,P20020,1,1.0
1510,1195,Q9NTK5,Q9NTK5,1,1.0
1511,1482,P50053,P50053,1,1.0
1512,970,O43818,O43818,1,1.0
1513,1141,Q13148,Q13148,1,1.0
1514,967,O75844,O75844,1,1.0
1515,1265,Q96LA8,Q96LA8,1,1.0
1516,1429,O75208,O75208,1,1.0
1517,956,Q9BTU6,Q9BTU6,1,1.0
1518,1208,P49903,P49903,1,1.0
1519,955,Q9UBD6,Q9UBD6,1,1.0
1520,1233,P35613,P35613,1,1.0
1521,933,P35367,P35367,1,1.0
1522,932,P35408,P35408,1,1.0
1523,215,Q9Y2K7,Q9Y2K7,1,1.0
1524,1259,Q16795,Q16795,1,1.0
1525,223,Q9Y2H2,Q9Y2H2,1,1.0
1526,1261,P08571,P08571,1,1.0
1527,225,O75717,O75717,1,1.0
1528,113,O94813,O94813,1,1.0
1529,1074,Q12794,Q12794,1,1.0
1530,112,Q9NZN5,Q9NZN5,1,1.0
1531,731,O15091,O15091,1,1.0
1532,1,Q9UPN3,Q9UPN3,1,1.0
1533,1271,P12314,P12314,1,1.0
1534,229,O75762,O75762,1,1.0
1535,883,Q16851,Q16851,1,1.0
1536,231,P40818,P40818,1,1.0
1537,876,Q96NY8,Q96NY8,1,1.0
1538,1281,Q9Y617,Q9Y617,1,1.0
1539,1258,Q8N4Q0,Q8N4Q0,1,1.0
1540,1257,Q96CM3,Q96CM3,1,1.0
1541,901,Q9HD40,Q9HD40,1,1.0
1542,915,O15123,O15123,1,1.0
1543,924,O60784,O60784,1,1.0
1544,117,Q8TEQ6,Q8TEQ6,1,1.0
1545,1267,Q9NW38,Q9NW38,1,1.0
1546,205,Q99490,Q99490,1,1.0
1547,219,Q16531,Q16531,1,1.0
1548,920,P54578,P54578,1,1.0
1549,1242,P49146,P49146,1,1.0
1550,1245,Q7Z6M4,Q7Z6M4,1,1.0
1551,1249,Q14627,Q14627,1,1.0
1552,1250,P35414,P35414,1,1.0
1553,1252,P41145,P41145,1,1.0
1554,1253,O43173,O43173,1,1.0
1555,906,Q86WT6,Q86WT6,1,1.0
1556,1188,P01876,P01876,1,1.0
1557,1187,P15291,P15291,1,1.0
1558,986,P52757,P52757,1,1.0
1559,174,Q9NTJ3,Q9NTJ3,1,1.0
1560,1114,P21579,P21579,1,1.0
1561,1116,Q8N9L9,Q8N9L9,1,1.0
1562,1064,Q9BQQ3,Q9BQQ3,1,1.0
1563,1119,Q9HAT8,Q9HAT8,1,1.0
1564,1121,P49642,P49642,1,1.0
1565,168,O14976,O14976,1,1.0
1566,148,Q9NS87,Q9NS87,1,1.0
1567,1060,Q96SW2,Q96SW2,1,1.0
1568,169,Q9BYE9,Q9BYE9,1,1.0
1569,145,Q86YV5,Q86YV5,1,1.0
1570,1129,P43351,P43351,1,1.0
1571,1130,Q6YN16,Q6YN16,1,1.0
1572,1054,Q15761,Q15761,1,1.0
1573,1053,P60228,P60228,1,1.0
1574,1133,Q96E29,Q96E29,1,1.0
1575,149,Q14152,Q14152,1,1.0
1576,1068,Q07960,Q07960,1,1.0
1577,1111,Q9UL52,Q9UL52,1,1.0
1578,1244,Q16828,Q16828,1,1.0
1579,1088,Q15645,Q15645,1,1.0
1580,925,P43490,P43490,1,1.0
1581,1095,Q9NPH0,Q9NPH0,1,1.0
1582,191,Q8N3U4,Q8N3U4,1,1.0
1583,158,Q2M1P5,Q2M1P5,1,1.0
1584,1165,P48775,P48775,1,1.0
1585,1077,O15178,O15178,1,1.0
1586,157,O94856,O94856,1,1.0
1587,151,Q9NRR4,Q9NRR4,1,1.0
1588,1102,P08476,P08476,1,1.0
1589,1103,A1Z1Q3,A1Z1Q3,1,1.0
1590,1104,Q8N5Z0,Q8N5Z0,1,1.0
1591,1107,O95630,O95630,1,1.0
1592,1071,Q13895,Q13895,1,1.0
1593,173,P19174,P19174,1,1.0
1594,1049,O15533,O15533,1,1.0
1595,989,P41279,P41279,1,1.0
1596,1138,Q8N371,Q8N371,1,1.0
1597,1105,P22234,P22234,1,1.0
1598,997,P49336,P49336,1,1.0
1599,1169,P29466,P29466,1,1.0
1600,1008,P23677,P23677,1,1.0
1601,1171,P14902,P14902,1,1.0
1602,1007,Q13285,Q13285,1,1.0
1603,1173,Q96BZ9,Q96BZ9,1,1.0
1604,991,P08172,P08172,1,1.0
1605,1000,Q9Y230,Q9Y230,1,1.0
1606,1175,P04278,P04278,1,1.0
1607,1181,P01857,P01857,1,1.0
1608,187,O43314,O43314,1,1.0
1609,188,P35568,P35568,1,1.0
1610,994,Q16719,Q16719,1,1.0
1611,1167,Q9GZZ9,Q9GZZ9,1,1.0
1612,1079,Q86UY5,Q86UY5,1,1.0
1613,1155,P25103,P25103,1,1.0
1614,1036,Q9BXJ7,Q9BXJ7,1,1.0
1615,1013,Q99952,Q99952,1,1.0
1616,1047,Q14457,Q14457,1,1.0
1617,1143,Q14318,Q14318,1,1.0
1618,1040,P42575,P42575,1,1.0
1619,177,P11274,P11274,1,1.0
1620,1037,O00189,O00189,1,1.0
1621,1034,Q9Y2T3,Q9Y2T3,1,1.0
1622,1156,Q16186,Q16186,1,1.0
1623,1149,Q5VW32,Q5VW32,1,1.0
1624,1032,P20749,P20749,1,1.0
1625,1027,O00232,O00232,1,1.0
1626,1026,Q9HCE5,Q9HCE5,1,1.0
1627,1025,O43159,O43159,1,1.0
1628,142,O95405,O95405,1,1.0
1629,1282,Q9UJM8,Q9UJM8,1,1.0
1630,1285,P49366,P49366,1,1.0
1631,1092,Q9Y2G5,Q9Y2G5,1,1.0
1632,747,Q13416,Q13416,1,1.0
1633,1416,Q08334,Q08334,1,1.0
1634,745,Q96AP4,Q96AP4,1,1.0
1635,744,O60508,O60508,1,1.0
1636,741,Q14995,Q14995,1,1.0
1637,1421,Q9Y698,Q9Y698,1,1.0
1638,740,Q8WX92,Q8WX92,1,1.0
1639,1423,P55735,P55735,1,1.0
1640,737,Q9NVV4,Q9NVV4,1,1.0
1641,273,Q07912,Q07912,1,1.0
1642,162,Q12913,Q12913,1,1.0
1643,271,Q6PJP8,Q6PJP8,1,1.0
1644,237,P53396,P53396,1,1.0
1645,902,P56817,P56817,1,1.0
1646,1305,P55263,P55263,1,1.0
1647,67,P23467,P23467,1,1.0
1648,1407,Q13011,Q13011,1,1.0
1649,1412,Q86XE5,Q86XE5,1,1.0
1650,1411,Q9UBV7,Q9UBV7,1,1.0
1651,81,Q5SRE5,Q5SRE5,1,1.0
1652,773,Q9UBW5,Q9UBW5,1,1.0
1653,771,Q96RQ9,Q96RQ9,1,1.0
1654,263,P08648,P08648,1,1.0
1655,83,Q9H792,Q9H792,1,1.0
1656,763,Q12980,Q12980,1,1.0
1657,266,Q9Y4F1,Q9Y4F1,1,1.0
1658,1401,P54619,P54619,1,1.0
1659,1410,P20132,P20132,1,1.0
1660,269,Q9NR97,Q9NR97,1,1.0
1661,1405,Q9Y5K5,Q9Y5K5,1,1.0
1662,1406,P14061,P14061,1,1.0
1663,751,Q9BYC5,Q9BYC5,1,1.0
1664,730,P41214,P41214,1,1.0
1665,750,Q9Y5P8,Q9Y5P8,1,1.0
1666,720,Q9H900,Q9H900,1,1.0
1667,1436,O95045,O95045,1,1.0
1668,262,O60566,O60566,1,1.0
1669,1437,P25963,P25963,1,1.0
1670,1459,O00487,O00487,1,1.0
1671,1460,Q92890,Q92890,1,1.0
1672,694,Q9Y297,Q9Y297,1,1.0
1673,1464,Q96MG7,Q96MG7,1,1.0
1674,689,P52306,P52306,1,1.0
1675,288,Q86YT6,Q86YT6,1,1.0
1676,1467,Q96DC8,Q96DC8,1,1.0
1677,1470,Q99685,Q99685,1,1.0
1678,243,O00267,O00267,1,1.0
1679,79,Q460N5,Q460N5,1,1.0
1680,685,P09960,P09960,1,1.0
1681,1471,P19623,P19623,1,1.0
1682,1313,O00767,O00767,1,1.0
1683,1476,O14842,O14842,1,1.0
1684,1477,P28907,P28907,1,1.0
1685,1478,Q92600,Q92600,1,1.0
1686,698,Q15642,Q15642,1,1.0
1687,1457,Q6UXL0,Q6UXL0,1,1.0
1688,286,P49916,P49916,1,1.0
1689,1445,P16422,P16422,1,1.0
1690,1438,O14788,O14788,1,1.0
1691,1440,P53370,P53370,1,1.0
1692,1441,Q00403,Q00403,1,1.0
1693,713,Q86TU7,Q86TU7,1,1.0
1694,709,P03372,P03372,1,1.0
1695,1444,A2RUC4,A2RUC4,1,1.0
1696,1447,Q96LJ7,Q96LJ7,1,1.0
1697,700,O95256,O95256,1,1.0
1698,707,P57772,P57772,1,1.0
1699,703,Q9UJX2,Q9UJX2,1,1.0
1700,1450,Q7L523,Q7L523,1,1.0
1701,1451,Q9HC38,Q9HC38,1,1.0
1702,69,P24928,P24928,1,1.0
1703,701,Q5D1E8,Q5D1E8,1,1.0
1704,1388,O00180,O00180,1,1.0
1705,86,Q6R327,Q6R327,1,1.0
1706,869,Q15646,Q15646,1,1.0
1707,97,Q9H3S7,Q9H3S7,1,1.0
1708,851,Q13596,Q13596,1,1.0
1709,850,Q8N884,Q8N884,1,1.0
1710,1311,Q13394,Q13394,1,1.0
1711,1472,P42126,P42126,1,1.0
1712,1318,O00303,O00303,1,1.0
1713,1319,Q96MX6,Q96MX6,1,1.0
1714,1367,Q9UNI6,Q9UNI6,1,1.0
1715,1321,Q00796,Q00796,1,1.0
1716,833,Q9BUI4,Q9BUI4,1,1.0
1717,1324,Q5T440,Q5T440,1,1.0
1718,1325,Q8N6T7,Q8N6T7,1,1.0
1719,832,O43242,O43242,1,1.0
1720,831,Q13564,Q13564,1,1.0
1721,246,O43683,O43683,1,1.0
1722,1308,Q15435,Q15435,1,1.0
1723,852,Q16222,Q16222,1,1.0
1724,1295,Q5W0Z9,Q5W0Z9,1,1.0
1725,1287,Q9Y2C4,Q9Y2C4,1,1.0
1726,1288,P78406,P78406,1,1.0
1727,1289,P28562,P28562,1,1.0
1728,722,Q9HC62,Q9HC62,1,1.0
1729,867,P49591,P49591,1,1.0
1730,1293,P62068,P62068,1,1.0
1731,105,Q04637,Q04637,1,1.0
1732,1304,Q9NX46,Q9NX46,1,1.0
1733,861,Q96JA3,Q96JA3,1,1.0
1734,103,Q96PN6,Q96PN6,1,1.0
1735,242,Q96JA1,Q96JA1,1,1.0
1736,856,O43172,O43172,1,1.0
1737,855,Q9Y3I1,Q9Y3I1,1,1.0
1738,1303,O75818,O75818,1,1.0
1739,98,Q13395,Q13395,1,1.0
1740,824,P57789,P57789,1,1.0
1741,1382,P37837,P37837,1,1.0
1742,820,Q9NZN8,Q9NZN8,1,1.0
1743,1355,Q14982,Q14982,1,1.0
1744,864,P48551,P48551,1,1.0
1745,1322,Q96DI7,Q96DI7,1,1.0
1746,1356,P19883,P19883,1,1.0
1747,794,Q49A26,Q49A26,1,1.0
1748,1359,O14862,O14862,1,1.0
1749,792,P15391,P15391,1,1.0
1750,791,Q01638,Q01638,1,1.0
1751,1371,P40937,P40937,1,1.0
1752,1372,Q13825,Q13825,1,1.0
1753,1373,O76071,O76071,1,1.0
1754,1375,P78318,P78318,1,1.0
1755,260,Q96NW4,Q96NW4,1,1.0
1756,87,Q9NZM3,Q9NZM3,1,1.0
1757,251,Q6ZW49,Q6ZW49,1,1.0
1758,809,Q9H211,Q9H211,1,1.0
1759,810,P01854,P01854,1,1.0
1760,1343,P09001,P09001,1,1.0
1761,1336,Q8N8N7,Q8N8N7,1,1.0
1762,1337,P21730,P21730,1,1.0
1763,818,Q14449,Q14449,1,1.0
1764,1340,P48556,P48556,1,1.0
1765,1341,Q9NWT6,Q9NWT6,1,1.0
1766,1342,Q8IV48,Q8IV48,1,1.0
1767,814,Q8N543,Q8N543,1,1.0
1768,1351,P53597,P53597,1,1.0
1769,248,Q9Y4D1,Q9Y4D1,1,1.0
1770,1346,Q9P0M2,Q9P0M2,1,1.0
